Species_names,phenoname,treename_10k, logbrain , logbody , DQI 
Aotus_nancymaae,Aotus_vociferans,Aotus_nancymaae,1.247973266,2.846955325,200
Ateles_fusciceps,Ateles_fusciceps,Ateles_fusciceps,2.057818194,3.955447211,183
Callithrix_jacchus,Callithrix_jacchus,Callithrix_jacchus,0.867032093,2.505149978,233.15
Cebus_albifrons,Cebus_albifrons,Cebus_albifrons,1.817741385,3.370427519,230
Cercocebus_atys,Cercocebus_atys,Cercocebus_torquatus_atys,1.938519725,3.792391689,184.1
Cercopithecus_mitis,Cercopithecus_mitis,Cercopithecus_mitis,1.835164847,3.690181338,208.44625
Cercopithecus_mona,Cercopithecus_mona,Cercopithecus_mona,1.771658964,3.537788078,201.25
Chlorocebus_aethiops,Chlorocebus_pygerythrus,Chlorocebus_aethiops,1.787003508,3.594629453,213.4958333
Chlorocebus_sabaeus,Chlorocebus_sabaeus,Chlorocebus_sabaeus,1.790337243,3.601440238,186.775
Colobus_angolensis,Colobus_angolensis,Colobus_angolensis,1.874779658,3.907427492,128.8058333
Colobus_guereza,Colobus_guereza,Colobus_guereza,1.864423197,3.904665249,127.6979167
Daubentonia_madagascariensis,Daubentonia_madagascariensis,Daubentonia_madagascariensis,1.651033271,3.410743213,244.7
Erythrocebus_patas,Erythrocebus_patas,Erythrocebus_patas,1.966203884,3.894172583,238.5583333
Galago_moholi,Galago_moholi,Galago_moholi,0.567205955,2.17081722,278
Galeopterus_variegatus,Galeopterus_variegatus,NA,NA,NA,NA
Gorilla_gorilla,Gorilla_gorilla,Gorilla_gorilla_gorilla,2.66389204,4.968455957,152
Homo_sapiens,Homo_sapiens,NA,NA,NA,NA
Hoolock_hoolock,Hoolock_hoolock,Bunopithecus_hoolock,2.034694221,3.842307541,188.4
Hylobates_lar,Hylobates_lar,Hylobates_lar,2.006994153,3.748962122,189.7
Lemur_catta,Lemur_catta,Lemur_catta,1.352129222,3.342214833,159.925
Lophocebus_aterrimus,Lophocebus_aterrimus,Lophocebus_aterrimus,1.974679209,3.796465698,189
Loris_tardigradus,Loris_tardigradus,Loris_tardigradus,0.749859154,2.284994021,350
Macaca_assamensis,Macaca_assamensis,Macaca_assamensis,1.95316618,3.898945242,166.175
Macaca_mulatta,Macaca_mulatta,Macaca_mulatta,1.937229467,3.792840652,113.2
Macaca_nemestrina,Macaca_nemestrina,Macaca_nemestrina,2.007101237,3.880519745,206.65
Macaca_silenus,Macaca_silenus,Macaca_silenus,1.910756764,3.830195549,200
Mandrillus_leucophaeus,Mandrillus_leucophaeus,Mandrillus_leucophaeus,2.147344607,4.052755092,223
Mandrillus_sphinx,Mandrillus_sphinx,Mandrillus_sphinx,2.161032897,4.162537289,200.075
Microcebus_murinus,Microcebus_murinus,Microcebus_murinus,0.208781515,1.813247173,224.225
Nomascus_leucogenys,Nomascus_leucogenys,Nomascus_leucogenys,2.086241155,3.814247596,153.5
Nycticebus_bengalensis,Nycticebus_bengalensis,Nycticebus_bengalensis,1.13001195,3.025305865,204.5
Nycticebus_pygmaeus,Nycticebus_pygmaeus,Nycticebus_pygmaeus,0.859108616,2.555193833,249.5
Otolemur_garnettii,Otolemur_garnettii,Otolemur_garnettii,1.046382712,2.9789549,275
Pan_paniscus,Pan_paniscus,Pan_paniscus,2.523337042,4.556657421,171.3458333
Pan_troglodytes,Pan_troglodytes,Pan_troglodytes_troglodytes,2.559897523,4.629458401,184.4809524
Papio_anubis,Papio_anubis,Papio_anubis,2.20854452,4.17261823,170.0416667
Papio_hamadryas,Papio_hamadryas,Papio_hamadryas,2.150789407,4.073195817,169
Piliocolobus_tephrosceles,Piliocolobus_tephrosceles,Procolobus_verus,1.8509524,3.924744352,118
Pithecia_pithecia,Pithecia_pithecia,Pithecia_pithecia,1.503310166,3.230045811,195.8
Pongo_abelii,Pongo_abelii,Pongo_abelii,2.564828317,4.706206048,199.825
Pongo_pygmaeus,Pongo_pygmaeus,Pongo_pygmaeus,2.553850233,4.667527108,187.3
Prolemur_simus,Prolemur_simus,Hapalemur_simus,1.42617865,3.341730656,101
Pygathrix_nemaeus,Pygathrix_nemaeus,Pygathrix_nemaeus,1.969015522,3.993398403,132.5
Rhinopithecus_roxellana,Rhinopithecus_roxellana,Rhinopithecus_roxellana,2.066856038,4.047447135,132.685
Rhinopithecus_strykeri,Rhinopithecus_bieti,Rhinopithecus_bieti,2.059617505,3.959041392,113
Saguinus_midas,Saguinus_midas,Saguinus_midas,0.991016508,2.739431088,234.0708333
Sapajus_apella,Cebus_apella,Cebus_apella,1.815386,3.436188849,201.25
Symphalangus_syndactylus,Symphalangus_syndactylus,Symphalangus_syndactylus,2.093439006,4.052886235,172.825
Tarsius_bancanus,Tarsius_bancanus,Tarsius_bancanus,0.498842593,2.072312574,350
Theropithecus_gelada,Theropithecus_gelada,Theropithecus_gelada,2.107810622,4.168761006,104.2
Trachypithecus_phayrei,Trachypithecus_phayrei,Trachypithecus_phayrei,1.854359872,3.864928299,156.45
Trachypithecus_shortridgei,Trachypithecus_pileatus,Trachypithecus_pileatus,2.001944226,4.032769019,147.9
